,id,Name,boostered,change-weekly,at_least_one_dose,two_doses
223,31602,Caloundra,59.6,2.1,95.0,95.0
224,31603,Maroochy,55.1,1.9,94.3,92.4
225,31605,Noosa,59.2,1.4,95.0,95.0
226,31606,Sunshine Coast Hinterland,53.7,2.0,93.3,91.6
227,31607,Nambour,55.2,1.9,95.0,95.0
228,31608,Noosa Hinterland,51.0,1.5,86.8,85.0
229,31701,Toowoomba,55.8,1.8,95.0,94.5
230,31801,Charters Towers - Ayr - Ingham,52.6,2.1,94.1,91.9
231,31802,Townsville,52.9,1.9,92.1,90.3
232,31901,Bundaberg,57.6,1.7,95.0,95.0
233,31902,Burnett,51.5,2.0,92.8,90.5
234,31903,Gympie - Cooloola,49.6,2.5,90.0,87.9
235,31904,Hervey Bay,61.9,1.9,95.0,95.0
236,31905,Maryborough,57.5,2.3,95.0,94.6
237,40101,Adelaide City,61.2,1.8,95.0,93.1
238,40102,Adelaide Hills,69.8,1.6,95.0,95.0
239,40103,Burnside,74.5,0.7,95.0,95.0
240,40104,Campbelltown (SA),62.3,2.1,95.0,94.9
241,40105,Norwood - Payneham - St Peters,66.0,1.7,94.4,92.3
242,40106,Prospect - Walkerville,66.6,1.6,95.0,94.6
243,40107,Unley,71.2,1.3,94.4,92.9
244,40201,Gawler - Two Wells,61.5,1.6,95.0,95.0
245,40202,Playford,49.2,1.9,93.2,89.4
246,40203,Port Adelaide - East,56.3,2.3,95.0,92.8
247,40204,Salisbury,53.4,2.1,94.7,91.6
248,40205,Tea Tree Gully,63.4,2.0,95.0,94.5
249,40301,Holdfast Bay,71.9,1.3,95.0,95.0
250,40302,Marion,64.6,1.6,95.0,92.8
251,40303,Mitcham,72.9,1.3,95.0,95.0
252,40304,Onkaparinga,61.7,1.4,94.3,92.0
253,40401,Charles Sturt,57.2,2.0,92.9,90.5
254,40402,Port Adelaide - West,57.4,2.4,95.0,92.2
255,40403,West Torrens,59.5,1.7,92.4,89.9
256,40501,Barossa,62.4,1.9,92.1,90.4
257,40502,Lower North,62.2,1.5,91.7,89.6
258,40503,Mid North,62.7,2.3,94.9,92.6
259,40504,Yorke Peninsula,67.3,3.2,95.0,94.5
260,40601,Eyre Peninsula and South West,56.7,1.6,92.0,88.7
261,40602,Outback - North and East,45.9,1.1,81.8,78.1
262,40701,Fleurieu - Kangaroo Island,68.9,1.2,94.8,93.1
263,40702,Limestone Coast,58.7,2.1,95.0,93.4
264,40703,Murray and Mallee,56.3,1.5,90.9,88.3
265,50101,Augusta - Margaret River - Busselton,72.1,2.5,95.0,95.0
266,50102,Bunbury,71.5,2.9,95.0,95.0
267,50103,Manjimup,72.8,3.1,95.0,95.0
268,50201,Mandurah,72.4,3.3,95.0,95.0
269,50301,Cottesloe - Claremont,83.3,1.5,95.0,95.0
270,50302,Perth City,75.3,1.9,95.0,94.1
271,50401,Bayswater - Bassendean,69.9,2.4,95.0,94.8
272,50402,Mundaring,70.9,2.9,95.0,95.0
273,50403,Swan,67.2,3.0,95.0,95.0
274,50501,Joondalup,78.7,2.1,95.0,95.0
275,50502,Stirling,70.6,2.4,95.0,94.9
276,50503,Wanneroo,65.7,2.7,95.0,94.6
277,50601,Armadale,67.2,3.4,95.0,95.0
278,50602,Belmont - Victoria Park,65.9,2.6,92.6,90.4
279,50603,Canning,75.0,2.8,95.0,95.0
280,50604,Gosnells,65.9,3.2,95.0,95.0
281,50605,Kalamunda,72.1,2.9,95.0,95.0
282,50606,Serpentine - Jarrahdale,61.8,3.1,91.3,89.4
283,50607,South Perth,72.3,1.8,91.2,89.6
284,50701,Cockburn,69.9,2.9,95.0,95.0
285,50702,Fremantle,77.7,2.3,95.0,95.0
286,50703,Kwinana,62.7,2.5,95.0,92.4
287,50704,Melville,80.9,2.0,95.0,95.0
288,50705,Rockingham,67.3,2.9,95.0,95.0
289,50901,Albany,70.4,2.8,95.0,95.0
290,50902,Wheat Belt - North,66.6,2.8,95.0,95.0
291,50903,Wheat Belt - South,70.3,2.7,95.0,95.0
292,51001,Kimberley,51.5,2.1,88.2,82.0
293,51002,East Pilbara,40.5,3.7,67.6,64.2
294,51003,West Pilbara,38.3,3.1,63.0,60.7
295,51101,Esperance,68.4,2.4,95.0,95.0
296,51102,Gascoyne,54.2,3.1,91.2,87.2
297,51103,Goldfields,56.3,3.3,91.3,88.3
298,51104,Mid West,68.4,3.0,95.0,95.0
299,60101,Brighton,55.8,2.3,95.0,95.0
300,60102,Hobart - North East,68.4,0.9,95.0,95.0
301,60103,Hobart - North West,60.1,1.3,95.0,95.0
302,60104,Hobart - South and West,69.3,2.5,95.0,95.0
303,60105,Hobart Inner,69.4,1.3,95.0,95.0
304,60106,Sorell - Dodges Ferry,60.4,3.0,95.0,95.0
305,60201,Launceston,62.6,1.6,95.0,95.0
306,60202,Meander Valley - West Tamar,60.1,1.7,95.0,94.0
307,60203,North East,59.8,2.0,95.0,95.0
308,60301,Central Highlands (Tas.),49.7,1.4,88.8,86.6
309,60302,Huon - Bruny Island,63.5,2.2,95.0,93.5
310,60303,South East Coast,69.9,1.5,95.0,95.0
311,60401,Burnie - Ulverstone,59.2,1.9,95.0,95.0
312,60402,Devonport,56.0,2.7,95.0,95.0
313,60403,West Coast,49.8,2.0,91.2,88.6
314,70101,Darwin City,65.6,1.8,95.0,95.0
315,70102,Darwin Suburbs,63.6,2.6,95.0,95.0
316,70103,Litchfield,36.0,1.8,68.5,67.1
317,70104,Palmerston,58.3,3.3,95.0,95.0
318,70201,Alice Springs,54.3,2.2,92.6,89.2
319,70202,Barkly,32.5,1.7,70.9,65.9
320,70203,Daly - Tiwi - West Arnhem,31.2,1.0,55.0,52.0
321,70204,East Arnhem,38.2,1.4,78.7,74.5
322,70205,Katherine,40.7,1.9,80.9,77.4
323,80101,Belconnen,68.1,1.0,95.0,95.0
324,80103,Canberra East,38.4,0.8,59.0,57.3
325,80104,Gungahlin,64.1,1.4,95.0,95.0
326,80105,North Canberra,65.9,1.2,88.5,86.7
327,80106,South Canberra,75.0,1.1,95.0,95.0
328,80107,Tuggeranong,67.6,1.0,95.0,95.0
329,80108,Weston Creek,73.5,0.9,95.0,95.0
330,80109,Woden Valley,72.4,1.2,95.0,95.0
331,80110,Molonglo,65.5,1.3,95.0,95.0
332,90101,Christmas Island,50.8,1.0,59.1,56.9
333,90104,Norfolk Island,78.8,1.1,95.0,95.0
